date;country;total confirmed cases;total confirmed new cases;total deaths;total new deaths

20200324;Poland;749;115;8;1
20200324;Italy;63927;4789;6077;601
20200324;The United Kingdom;6654;967;335;54
20200324;China;81747;146;3283;7

20200323;Poland;634;98;7;2
20200323;Italy;59138;5560;5476;649
20200323;The United Kingdom;5687;669;281;48
20200323;China;81601;103;3276;9

20200321;Poland;536;111;5;0
20200321;Italy;53578;6557;4827;795
20200321;The United Kingdom;5018;1035;233;56
20200321;China;81498;82;3267;6

20200320;Poland;425;100;5;0
20200320;Italy;47021;5986;4032;625
20200320;The United Kingdom;3983;706;177;33
20200320;China;81416;116;3261;8

20200319;Poland;325;38;5;0
20200319;Italy;41035;5322;3407;429
20200319;The United Kingdom;3277;647;144;41
20200319;China;81300;126;3253;11

20200318;Poland;246;96;5;2
20200318;Italy;31506;3526;2503;345
20200318;The United Kingdom;1954;407;55;5
20200318;China;81116;39;3231;13

20200317;Poland;150;0;3;0
20200317;Italy;27980;3233;2503;349 
20200317;The United Kingdom;1547;152;55;20
20200317;China;81116;39;3231;13

20200316;Poland;150;39;3;0
20200316;Italy;24747;3590;1809;368
20200316;The United Kingdom;1395;251;35;14
20200316;China;81077;29;3218;14

20200315;Poland;111;47;3;2
20200315;Italy;21157;3497;1441;173
20200315;The United Kingdom;1144;342;21;11
20200315;China;81048;27;3204;10

20200314;Poland;64;15;1;0
20200314;Italy;17660;2547;1268;252
20200314;The United Kingdom;802;208;10;2
20200314;China;81021;18;3194;14

20200313;Poland;49;5;1;1
20200313;Italy;15113;2651;1016;189
20200313;The United Kingdom;594;134;8;2
20200313;China;80991;11;3180;7

20200312;Poland;44;22;0;0
20200312;Italy;12462;2313;827;196
20200312;The United Kingdom;460;87;6;0
20200312;China;80981;3173;26;11

20200311;Poland;22;6;0;0
20200311;Italy;10149;977;631;168
20200311;The United Kingdom;373;50;6;3
20200311;China;80955;31;3162;22

20200310;Poland;16;5;0;0
20200310;Italy;9172;1797;463;97 
20200310;The United Kingdom;323;46;3;1
20200310;China;80924;20;3140;17

20200309;Poland;11;5;0;0
20200309;Italy;7375;1492;366;132
20200309;The United Kingdom;277;67;2;0
20200309;China;80904;45;3123;23

20200308;Poland;6;1;0;0
20200308;Italy;5883;1247;234;37
20200308;The United Kingdom;210;43;2;1
20200308;China;80859;46;3100;27

20200307;Poland;5;4;0;0
20200307;Italy;4636;778;197;49
20200307;The United Kingdom;167;49;1;1
20200307;China;80813;102;3073;28

20200306;Poland;1;0;0;0
20200306;Italy;3858;769;148;41
20200306;The United Kingdom;118;29;0;0
20200306;China;80711;146;3045;30

20200305;Poland;1;0;0;0
20200305;Italy;3089;587;107;27
20200305;The United Kingdom;89;38;0;0
20200305;China;80565;143;3015;31

20200304;Poland;1;1;0;0
20200304;Italy;2502;466;80;28
20200304;The United Kingdom;51;12;0;0
20200304;China;80422;120;2984;38

20200303;Italy;2036;347;52;17
20200303;The United Kingdom;39;3;0;0
20200303;China;80304;130;2946;31

20200302;Italy;1689;561;35;6
20200302;The United Kingdom;36;13;0;0
20200302;China;80174;206;2915;42

20200301;Italy;1128;240;29;8
20200301;The United Kingdom;23;3;0;0
20200301;China;79968;579;2873;35

20200229;Italy;888;238;21;4
20200229;The United Kingdom;20;4;0;0
20200229;China;79394;435;2838;47

20200228;Italy;650;250;17;5
20200228;The United Kingdom;16;3;0;0
20200228;China;78961;331;2791;44

20200227;Italy;400;78;12;1
20200227;The United Kingdom;13;0;0;0
20200227;China;78630;439;2747;29

20200226;Italy;322;93;11;5
20200226;The United Kingdom;13;0;0;0
20200226;China;78191;412;2718;52 

20200225;Italy;229;105;6;4
20200225;The United Kingdom;13;0;0;0
20200225;China;77780;518;2666;71

20200224;Italy;124;48;2;0
20200224;The United Kingdom;9;0;0;0
20200224;China;77262;415;2595;150

20200223;Italy;76;67;2;2
20200223;The United Kingdom;9;0;0;0
20200223;China;77042;650;2445;97

20200222;Italy;9;6;0;0
20200222;The United Kingdom;9;0;0;0
20200222;China;76392;2348;397;109

20200221;Italy;3;0;0;0
20200221;The United Kingdom;9;0;0;0
20200221;China;75569;894;2239;118

20200220;Italy;3;0;0;0
20200220;The United Kingdom;9;0;0;0
20200220;China;74675;399;2121;115

20200219;Italy;3;0;0;0
20200219;The United Kingdom;9;0;0;0
20200219;China;74280;1752;2006;136

20200218;Italy;3;0;0;0
20200218;The United Kingdom;9;0;0;0
20200218;China;72528;1891;1870;98

20200217;Italy;3;0;0;0
20200217;The United Kingdom;9;0;0;0
20200217;China;70635;2051;1772;106

20200216;Italy;3;0;0;0
20200216;The United Kingdom;9;0;0;0
20200216;China;68584;2009;1666;142

20200215;Italy;3;0;0;0
20200215;The United Kingdom;9;0;0;0
20200215;China;66576;2644;1524;143

20200214;Italy;3;0;0;0
20200214;The United Kingdom;9;0;0;0
20200214;China;63932;5093;1381;121

20200213;Italy;3;0;0;0
20200213;The United Kingdom;9;1;0;0
20200213;China;46550;0;0;0

2020021;Italy;3;0;0;0
2020021;The United Kingdom;
2020021;China;44730;0;1114;0

2020021;Italy;3;0;0;0
2020021;The United Kingdom;8;4;0;0
2020021;China;42708;0;0;0
